algo,experiment,desc,val_r2,val_mse,val_rmse,val_mae,train_r2,train_mse,train_rmse,train_mae,diff
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 10, min_child_weight: 6, colsample_bytree: 0.4",0.92432,116554.64153,341.401,234.83336,0.99997,35.92224,5.99352,4.11665,718.28121
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 10, min_child_weight: 6, colsample_bytree: 0.6",0.93169,105207.37347,324.35686,214.44769,0.99997,29.8792,5.46619,3.68984,735.32535
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 10, min_child_weight: 6, colsample_bytree: 0.8",0.92736,111869.15335,334.46846,215.45223,0.99998,21.8389,4.67321,3.1454,725.21375
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 10, min_child_weight: 8, colsample_bytree: 0.4",0.92293,118697.87785,344.52558,236.92998,0.99992,88.20835,9.39193,6.53824,715.15663
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 10, min_child_weight: 8, colsample_bytree: 0.6",0.93164,105275.63227,324.46207,215.39311,0.99994,60.70319,7.79123,5.36948,735.22014
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 10, min_child_weight: 8, colsample_bytree: 0.8",0.92562,114545.03249,338.44502,219.04998,0.99995,54.43605,7.37808,5.00544,721.23719
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 10, min_child_weight: 10, colsample_bytree: 0.4",0.9237,117515.33674,342.8051,238.60754,0.99987,146.09043,12.08679,8.45109,716.87711
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 10, min_child_weight: 10, colsample_bytree: 0.6",0.93326,102790.67393,320.60985,212.99452,0.99989,120.5253,10.9784,7.61724,739.07236
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 10, min_child_weight: 10, colsample_bytree: 0.8",0.93107,106161.63927,325.82455,208.03189,0.99989,117.219,10.82677,7.41959,733.85766
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 15, min_child_weight: 4, colsample_bytree: 0.4",0.90534,145790.25206,381.8249,268.72282,1.0,0.00025,0.01584,0.00812,677.85731
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 15, min_child_weight: 4, colsample_bytree: 0.6",0.92918,109071.22712,330.25933,216.47534,1.0,0.00023,0.01522,0.00793,729.42288
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 15, min_child_weight: 4, colsample_bytree: 0.8",0.9241,116895.23807,341.89946,218.9703,1.0,0.00013,0.01131,0.00586,717.78275
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 15, min_child_weight: 5, colsample_bytree: 0.4",0.90764,142243.95815,377.15243,267.95558,1.0,0.00737,0.08585,0.04734,682.52978
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 15, min_child_weight: 5, colsample_bytree: 0.6",0.92924,108977.13907,330.11686,215.66109,1.0,0.00305,0.05521,0.0304,729.56535
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 15, min_child_weight: 5, colsample_bytree: 0.8",0.92342,117937.46895,343.42025,219.389,1.0,0.09246,0.30407,0.18264,716.26196
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 15, min_child_weight: 6, colsample_bytree: 0.4",0.91302,133956.17825,366.00024,257.94071,1.0,0.04219,0.2054,0.12143,693.68197
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 15, min_child_weight: 6, colsample_bytree: 0.6",0.92802,110854.08335,332.94757,218.41788,1.0,0.03911,0.19776,0.11364,726.73464
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 15, min_child_weight: 6, colsample_bytree: 0.8",0.92172,120561.09469,347.21909,221.71605,1.0,0.22831,0.47782,0.29353,712.46312
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 15, min_child_weight: 8, colsample_bytree: 0.4",0.91335,133444.12665,365.30005,254.64867,1.0,0.78156,0.88406,0.56867,694.38216
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 15, min_child_weight: 8, colsample_bytree: 0.6",0.92854,110055.07352,331.7455,216.80499,1.0,0.76413,0.87415,0.55527,727.93671
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 15, min_child_weight: 8, colsample_bytree: 0.8",0.9215,120898.53371,347.70466,223.33835,1.0,1.9255,1.38763,0.88402,711.97755
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 15, min_child_weight: 10, colsample_bytree: 0.4",0.91634,128848.20994,358.95433,250.85159,1.0,3.1829,1.78407,1.19705,700.72788
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 15, min_child_weight: 10, colsample_bytree: 0.6",0.92936,108797.22448,329.84424,217.94219,1.0,3.81305,1.9527,1.27729,729.83797
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 15, min_child_weight: 10, colsample_bytree: 0.8",0.92686,112642.09107,335.62195,217.68474,0.99999,5.75293,2.39853,1.57089,724.06026
